title,price,currency,original_price,discount,seller,rating,installments,shipping,product_url,image_url,offer_type
Notebook Exo Smart T38 Intel N4020 4gb Ssd128gb Windows 11 Color Gris,339999,$,569999,40% OFF,EXO,4.6,6 cuotas de$77.582,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-exo-smart-t38-intel-n4020-4gb-ssd128gb-windows-11-color-gris/p/MLA22826188,https://http2.mlstatic.com/D_Q_NP_2X_674154-MLA99475153990_112025-E.webp,main
Notebook Philco N14P4020 14.1 Pulgadas Intel Celeron 4gb 128gb Ssd Windows 11,319299,$,479999,33% OFF,Philco,4.5,6 cuotas de$72.858,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-philco-n14p4020-141-pulgadas-intel-celeron-4gb-128gb-ssd-windows-11/p/MLA42114051,https://http2.mlstatic.com/D_Q_NP_2X_910728-MLA99986778023_112025-E.webp,main
Notebook Philco N14P4020 14.1 Pulgadas Intel Celeron 4gb 128gb Ssd Windows 11,371299,$,479999,22% OFF,Philco,4.5,Mismo precio 6 cuotas de$61.883,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-philco-n14p4020-141-pulgadas-intel-celeron-4gb-128gb-ssd-windows-11/p/MLA42114051?offer_type=BEST_INSTALLMENTS,https://http2.mlstatic.com/D_Q_NP_2X_910728-MLA99986778023_112025-E.webp,alternative (best_installments)
Tablet Infantil 7  Con Funda Resistente Y Control Parental,83572,$,89870,7% OFF,,,,Envío gratis,https://www.mercadolibre.com.ar/tablet-infantil-7--con-funda-resistente-y-control-parental/up/MLAU3857534906,https://http2.mlstatic.com/D_Q_NP_2X_605381-CBT109055582399_032026-E.webp,main
Portátil HP Elitebook 845 G8 Amd Ryzen 5 Pro 5650u 16 GB de RAM 256 GB Ssd Windows 11 Pro Business y Gaming Notebook - Excelente (Reacondicionado),495441,$,1011134,51% OFF,,4.7,,Envío gratis,https://www.mercadolibre.com.ar/portatil-hp-elitebook-845-g8-amd-ryzen-5-pro-5650u-16-gb-de-ram-256-gb-ssd-windows-11-pro-business-y-gaming-notebook-excelente-reacondicionado/p/MLA2020089212,https://http2.mlstatic.com/D_Q_NP_2X_636669-MLA109971701559_042026-E.webp,main
Notebook Enova 14 Celeron N4020 Ram 4gb Ssd 128gb Gris,400399,$,535989,25% OFF,MEXX GAMERS POR NATURALEZA,4.6,Mismo precio 18 cuotas de$22.244,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-enova-14-celeron-n4020-ram-4gb-ssd-128gb-gris/p/MLA23827239,https://http2.mlstatic.com/D_Q_NP_2X_853703-MLA99991185023_112025-E.webp,main
Notebook Enova 14 Celeron N4020 Ram 4gb Ssd 128gb Gris,399999,$,489999,18% OFF,eNova,4.6,,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-enova-14-celeron-n4020-ram-4gb-ssd-128gb-gris/p/MLA23827239?offer_type=OFFICIAL_STORE,https://http2.mlstatic.com/D_Q_NP_2X_853703-MLA99991185023_112025-E.webp,alternative (alternative)
Notebook Tactil Fhd Hp 15-fd0267la I5 1334u 16gb 512gb W11,1149999,$,1399999,17% OFF,D DINATECH,5.0,6 cuotas de$262.410,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-tactil-fhd-hp-15fd0267la-i5-1334u-16gb-512gb-w11/up/MLAU3841922117,https://http2.mlstatic.com/D_Q_NP_2X_943972-MLA108870025783_032026-E.webp,main
Notebook Dell Inspiron 3535 Amd Ryzen 5 7520u Full Hd 8 Gb Lpddr5-sdram 512 Gb Ssd - 15.6 - Windows 11 Home - Teclado En Español - Color Plata,1289799,$,1582899,18% OFF,PC CENTER COMPUTERS,4.9,Mismo precio 18 cuotas de$71.655,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-dell-inspiron-3535-amd-ryzen-5-7520u-full-hd-8-gb-lpddr5-sdram-512-gb-ssd-156-windows-11-home-teclado-en-espanol-color-plata/p/MLA42801267,https://http2.mlstatic.com/D_Q_NP_2X_685534-MLA95843510283_102025-E.webp,main
Notebook ASUS Vivobook Go 15 N100 4GB 128GB,588624,$,843799,30% OFF,Tidi,4.8,Mismo precio 18 cuotas de$32.701,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-asus-vivobook-go-15-n100-4gb-128gb/p/MLA51871727,https://http2.mlstatic.com/D_Q_NP_2X_913870-MLA99948525221_112025-E.webp,main
Notebook ASUS Vivobook Go 15 N100 4GB 128GB,536395,$,1706599,68% OFF,ASUS,4.8,,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-asus-vivobook-go-15-n100-4gb-128gb/p/MLA51871727?offer_type=OFFICIAL_STORE,https://http2.mlstatic.com/D_Q_NP_2X_913870-MLA99948525221_112025-E.webp,alternative (alternative)
"Notebook Asus Vivobook Go 15,6 Fhd 256gb / 8gb I3-n305 W11 - Cool Silver",1030339,$,2102734,51% OFF,BRIMMERST,5.0,Mismo precio 18 cuotas de$57.241,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-asus-vivobook-go-156-fhd-256gb-8gb-i3-n305-w11-cool-silver/p/MLA63001375,https://http2.mlstatic.com/D_Q_NP_2X_645731-MLA100377720660_122025-E.webp,main
Tablet Infantil 7  Android Con Funda Resistente,85762,$,92226,7% OFF,,,,Envío gratis,https://www.mercadolibre.com.ar/tablet-infantil-7--android-con-funda-resistente/up/MLAU3857534966,https://http2.mlstatic.com/D_Q_NP_2X_800452-CBT109055526435_032026-E.webp,main
"Samsung Galaxy Book 4 15.6"" Color Plateado 16GB RAM 512GB SSD Procesador Intel Core I7",2412002,$,,,Compu Tools,4.9,6 cuotas de$550.378,Llega gratis mañana,https://www.mercadolibre.com.ar/samsung-galaxy-book-4-156-color-plateado-16gb-ram-512gb-ssd-procesador-intel-core-i7/p/MLA38663290,https://http2.mlstatic.com/D_Q_NP_2X_674107-MLA99966489085_112025-E.webp,main
Hp Pink Stream 14-ep2011 Intel N150 4gb Ram 128gb Ufs Incluye Windows 11 Instalado Pantalla 14 Laptop Rosa Con Regalo,407504,$,626931,35% OFF,,4.8,,Envío gratis,https://www.mercadolibre.com.ar/hp-pink-stream-14-ep2011-intel-n150-4gb-ram-128gb-ufs-incluye-windows-11-instalado-pantalla-14-laptop-rosa-con-regalo/p/MLA53196537,https://http2.mlstatic.com/D_Q_NP_2X_766867-MLA109453734770_042026-E.webp,main
"Notebook Hp 255 G10 Amd Ryzen 5 7520u, Ram 16gb, Ssd 512gb, Pantalla 15,6'' hd, Sistema Opertativo Windows 11 Home",1569999,$,1939999,19% OFF,EW Electro World,4.8,Mismo precio 18 cuotas de$87.222,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-hp-255-g10-amd-ryzen-5-7520u-ram-16gb-ssd-512gb-pantalla-156-hd-sistema-opertativo-windows-11-home/p/MLA55559792,https://http2.mlstatic.com/D_Q_NP_2X_805015-MLA99950113511_112025-E.webp,main
"Notebook Asus Vivobook M1502ya-bq580 Ryzen 7 5825u 16gb De Ram Ddr4 512gb Ssd M.2 Nvme Pcie, Amd Radeon Graphics (15,6) Full Hd 1920 X 1080 Ips Wi-fi 6e (802.11ax) Windows 11 Home, Color Cool Silver.",1645299,$,2643297,37% OFF,ESPACIO ELECTRONICA,4.9,Mismo precio 18 cuotas de$91.405,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-asus-vivobook-m1502ya-bq580-ryzen-7-5825u-16gb-de-ram-ddr4-512gb-ssd-m2-nvme-pcie-amd-radeon-graphics-156-full-hd-1920-x-1080-ips-wi-fi-6e-80211ax-windows-11-home-color-cool-silver/p/MLA63642587,https://http2.mlstatic.com/D_Q_NP_2X_732476-MLA102966284007_122025-E.webp,main
Notebook Hp 255r G10 Ryzen 7 7735u | 16gb Ram | 512gb Ssd Nvme | 15.6 Full Hd | Windows 11 | Laptop Empresarial,1899999,$,2599999,26% OFF,Electro World Group,4.8,Mismo precio 18 cuotas de$105.555,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-hp-255r-g10-ryzen-7-7735u-16gb-ram-512gb-ssd-nvme-156-full-hd-windows-11-laptop-empresarial/p/MLA63549440,https://http2.mlstatic.com/D_Q_NP_2X_794049-MLA102672783779_122025-E.webp,main
"Notebook Lenovo Ideapad 1 14IJL7 Procesador Intel Celeron N4500 4gb Ram Ddr4 128gb SSD Pantalla 14"" HD Windows 11 S Color Gris",399999,$,595985,32% OFF,INTEGRADOS ARGENTINOS,4.6,6 cuotas de$91.273,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-14ijl7-procesador-intel-celeron-n4500-4gb-ram-ddr4-128gb-ssd-pantalla-14-hd-windows-11-s-color-gris/p/MLA46083582,https://http2.mlstatic.com/D_Q_NP_2X_618560-MLA107401990556_032026-E.webp,main
"Notebook Lenovo Ideapad 1 14IJL7 Procesador Intel Celeron N4500 4gb Ram Ddr4 128gb SSD Pantalla 14"" HD Windows 11 S Color Gris",589999,$,879999,32% OFF,INTEGRADOS ARGENTINOS,4.6,Mismo precio 18 cuotas de$32.777,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-14ijl7-procesador-intel-celeron-n4500-4gb-ram-ddr4-128gb-ssd-pantalla-14-hd-windows-11-s-color-gris/p/MLA46083582?offer_type=BEST_INSTALLMENTS,https://http2.mlstatic.com/D_Q_NP_2X_618560-MLA107401990556_032026-E.webp,alternative (best_installments)
Notebook Hp 255 G10 Amd Ryzen 5 7520u 16gb Ram 512gb Ssd 15.6 Full Hd Gráficos Integrados Radeon 610m Windows 11 Home Plata,1569999,$,1789999,12% OFF,Electro World Group,4.8,Mismo precio 18 cuotas de$87.222,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-hp-255-g10-amd-ryzen-5-7520u-16gb-ram-512gb-ssd-156-full-hd-graficos-integrados-radeon-610m-windows-11-home-plata/p/MLA54622919,https://http2.mlstatic.com/D_Q_NP_2X_940766-MLA99992495719_112025-E.webp,main
Notebook Lenovo V15 G4 Amd Ryzen 3 7320u 16gb De Ram Ssd 512gb Gráficos Radeon 610m 1920x1080px Teclado Español Gris,1318799,$,1885194,30% OFF,GAUSSONLINE,4.7,Mismo precio 18 cuotas de$73.266,Llega gratis mañana,https://www.mercadolibre.com.ar/notebook-lenovo-v15-g4-amd-ryzen-3-7320u-16gb-de-ram-ssd-512gb-graficos-radeon-610m-1920x1080px-teclado-espanol-gris/p/MLA39457292,https://http2.mlstatic.com/D_Q_NP_2X_735164-MLA99382703778_112025-E.webp,main
